제품명,제품군 대분류,제품군 중분류,제품군 소분류,업체명,업체주소,생산지,출처,처분권자,조치일자,조치내용,위반내용,기타
루핀 브러쉬 온 고정 젤,미용제품,미용 접착제,미용접착제,[제조] ㈜조영(031-999-4835),"경기도 김포시 양촌읍 황금로 117, 나동612호(메카존)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-23,"제조금지, 판매금지, 회수명령",안전·표시기준 위반[신고 미실시 및 표시사항 미표기],신고증명서 발급(2022.12.12) 이전 제품 회수대상으로 신고번호(EA21-19-0106) 표시제품 유통 가능
루핀 파츠 고정 젤,미용제품,미용 접착제,미용접착제,[제조] ㈜조영(031-999-4835),"경기도 김포시 양촌읍 황금로 117, 나동612호(메카존)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-23,"제조금지, 판매금지, 회수명령",안전·표시기준 위반[신고 미실시 및 표시사항 미표기],신고증명서 발급(2022.12.12) 이전 제품 회수대상으로 신고번호(EA21-19-0102) 표시제품 유통 가능
루루글루,미용제품,미용 접착제,미용접착제,[제조] ㈜조영(031-999-4835),"경기도 김포시 양촌읍 황금로 117, 나동612호(메카존)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-23,"제조금지, 판매금지, 회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
카렌 젤글루_브러쉬온,미용제품,미용 접착제,미용접착제,[제조] ㈜조영(031-999-4835),"경기도 김포시 양촌읍 황금로 117, 나동612호(메카존)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-23,"제조금지, 판매금지, 회수명령",안전·표시기준 위반[신고 미실시 및 표시사항 미표기],신고증명서 발급(2023.5.11) 이전 제품 회수대상으로 신고번호(EA21-19-0106) 표시제품 유통 가능
리드 디퓨저,방향제류,방향제,방향제,[제조] 이래에프엔씨㈜(031-678-6730),경기 안성시 삼죽면 국사봉로 641-10,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-27,"제조금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
모노그램 초 세트,기타류,초,초,[제조/판매] 글리풀,"경기 남양주시 늘을1로 270, 1808-201",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-27,"제조금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
수요일 왁스타블렛(유칼립투스향),방향제류,방향제,방향제,[제조/판매] 빈쓰마켓,"서울특별시 성북구 안암로9나길 14(안암동3가,대광아파트)바동 4층 855호",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-29,"제조금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],"파생신고,(CB21-12-2549,23.6.26.)완료 후 안전·표시기준 준수한 제품은 유통가능"
스타졸1입,방향제류,탈취제,"탈취제, 기피제",[제조/판매] 크린스타(054-933-3900),경상북도 성주군 용암면 용계리 680,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,대구지방환경청,2023-06-29,"제조금지, 판매금지, 회수명령",탈취제 품목 안전기준적합 확인 미실시 및 표시기준 위반 제품 제조·판매,20.7.23. 신고(제DB20-23-0005호)하여 기피제 품목으로만 표시·광고하여 판매한 제품은 유통가능
옷장용 탈취제(아쿠아 향),방향제류,탈취제,탈취제,[제조/판매] 크린스타(054-933-3900),경상북도 성주군 용암면 용계리 680,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,대구지방환경청,2023-06-29,"제조금지, 판매금지, 회수명령",파생신고 미실시 및 표시기준 위반제품 제조·판매,21.7.21. 파생신고(제DB21-13-0881호)이후 표시사항 표기한 제품은 유통가능
사미네공방 석고방향제(피치 향),방향제류,방향제,방향제,[제조/판매] 사미네공방,대구광역시 달성군 가창면 원정길 118,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,대구지방환경청,2023-06-29,"제조금지, 판매금지, 회수명령",안전기준적합 확인 미실시 및 표시기준 위반제품 제조·판매,
메이드인 나른 향오일(산타마리아노벨라 프리지아),방향제류,방향제,방향제,[제조/판매] 메이드인 나른,전라남도 순천시 연향번영3길 8-14 메이드인 나른,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,영산강유역환경청,2023-06-28,"제조금지, 판매금지, 회수명령",○ 안전·표시기준 위반제품 제조 ·판매,ㅇ 안전·표시기준 위반제품(파생 미신고)  제조 판매ㅇ 2023.02.02. 파생신고 완료. 이후 생산된 제품은 유통 가능
손발도장 석고방향제 손조형물 만들기 키트,방향제류,방향제,방향제,[제조/판매]영농조합법인 에듀팜,"충청북도 청주시 흥덕구 직지대로436번길 76, 328호",대한민국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-04-21,"제조금지,판매금지,회수명령","안전기준 적합 확인 미실시, 표시사항 미표기",
파인-볼,방향제류,탈취제,탈취제,[제조/판매]에스앤씨(041-568-3736),충남 천안시 동남구 목천읍 천정1길 143,대한민국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-04-25,"제조금지,판매금지,회수명령","안전기준 적합 확인·신고 미실시(유효기간 이후 제조), 표시사항 미표기",
피톤치드 숲속나라 편백방향제,방향제류,"방향제,탈취제,살균제",방향제/탈취제/살균제,[제조/판매]세움라이프(042-537-8244),"대전광역시 서구 제비네1길 112, 1층(도마동)",대한민국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-04-25,"제조금지,판매금지,회수명령",기 확인사항 외 타품목 효과 등을 제품에 표시·광고,
무지개 종달새 캔들세트(코코마드모아델 향),기타류,초,초,[제조/판매]데일리봄,"세종특별자치시 한누리대로 2144, 610호",대한민국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-04-28,"제조금지,판매금지,회수명령",표시사항 미표기,"표시기준 위반한 제품이 행정처분대상이며, HB21-26-1048 신고번호 기재 등 표시 기준 준수하여 제조한 제품은 유통가능"
러빙베어 왁스타블렛(히노키),방향제류,방향제,방향제,"[제조/판매]레베캔들-revercandle(,070-8834-0518)","대전광역시 중구 중앙로 65, 2층 203호",대한민국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-05-15,"제조금지,판매금지,회수명령",안전기준 위반(확인받은 내용과 다르게 제품 제조)표시사항 전체 미표기,
문서세단기 전용오일,코팅/접착제류,코팅제,윤활제,[제조/판매]현대오피스(유)(070-7700-6609),대전광역시 대덕구 한밭대로 1176,대한민국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-05-17,"제조금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시,신고증명서 발급(2023.5.26) 이전 제품 회수대상으로 신고번호(DB23-32-0025)표시제품 유통가능
문서세단기 오일페이퍼(5매),코팅/접착제류,코팅제,윤활제,[수입/판매]현대오피스(유)(070-7700-6609),대전광역시 대덕구 한밭대로 1176,대한민국,화학제품안전법 제10조 및 제36조,금강유역환경청,2023-05-17,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시,신고증명서 발급(2023.6.12) 이전 제품 회수대상으로 신고번호(DB23-32-0030) 표시제품 유통 가능
문서세단기 오일페이퍼(15매),코팅/접착제류,코팅제,윤활제,[수입/판매]현대오피스(유)(070-7700-6609),대전광역시 대덕구 한밭대로 1176,대한민국,화학제품안전법 제10조 및 제37조,금강유역환경청,2023-05-17,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시,신고증명서 발급(2023.6.12) 이전 제품 회수대상으로 신고번호(DB23-32-0030) 표시제품 유통 가능
천연 딸기 소이캔들 만들기 세트(가든파티 향),기타류,초,초,[제조/판매]로사로사,"충남 논산시 대학로 121, 212호(내동, 건양대 산학협력관)",대한민국,화학제품안전법 제10조 및 제38조,금강유역환경청,2023-06-19,"제조금지,판매금지,회수명령",표시사항 전체 미표기,"표시기준 위반한 제품이 행정처분대상이며, AB21-26-0422 신고번호 기재 등 표시 기준 준수하여 제조한 제품은 유통가능"
코코리 천연 살균소독제,살생물제류,살균제,살균제,[제조/판매] 농업회사법인㈜ 제주클린산업(064-748-6770),제주특별자치도 제주시 애월읍 하귀6길 22,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,영산강유역환경청,2023-06-19,"제조금지, 판매금지, 회수명령",표시기준 위반[표시사항 미표기],"표시기준 위반제품 제조 판매 금지(다만, 표시기준 준수한 제품은 제조 판매 가능)"
마법의성 초세트,기타류,초,초,[수입/판매]기억의 소품(0507-1433-9160),대전광역시 동구 대전로646(효동현대아파트) 107동 609호,중국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-05-31,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시(위반제품 수입·판매),
삐에로 서프라이즈 깜짝초,기타류,초,초,[수입/판매]기억의 소품(0507-1433-9160),대전광역시 동구 대전로646(효동현대아파트) 107동 609호,중국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-05-31,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시(위반제품 수입·판매),
우유 파스텔 꼬불초,기타류,초,초,[수입/판매]기억의 소품(0507-1433-9160),대전광역시 동구 대전로646(효동현대아파트) 107동 609호,중국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-05-31,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시(위반제품 수입·판매),
파스텔 뚱꽈배기초,기타류,초,초,[수입/판매]기억의 소품(0507-1433-9160),대전광역시 동구 대전로646(효동현대아파트) 107동 609호,중국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-05-31,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시(위반제품 수입·판매),
파스텔 엠보 숫자모양초,기타류,초,초,[수입/판매]기억의 소품(0507-1433-9160),대전광역시 동구 대전로646(효동현대아파트) 107동 609호,중국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-05-31,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시(위반제품 수입·판매),
푸들초,기타류,초,초,[수입/판매]기억의 소품(0507-1433-9160),대전광역시 동구 대전로646(효동현대아파트) 107동 609호,중국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-05-31,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시(위반제품 수입·판매),
레인보우초,기타류,초,초,[수입/판매]기억의 소품(0507-1433-9160),대전광역시 동구 대전로646(효동현대아파트) 107동 609호,중국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-05-31,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시(위반제품 수입·판매),
데이지초,기타류,초,초,[수입/판매]기억의 소품(0507-1433-9160),대전광역시 동구 대전로646(효동현대아파트) 107동 609호,중국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-05-31,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시(위반제품 수입·판매),
HBD레터링초,기타류,초,초,[수입/판매]기억의 소품(0507-1433-9160),대전광역시 동구 대전로646(효동현대아파트) 107동 609호,중국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-05-31,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시(위반제품 수입·판매),
스마일초,기타류,초,초,[수입/판매]기억의 소품(0507-1433-9160),대전광역시 동구 대전로646(효동현대아파트) 107동 609호,중국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-05-31,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시(위반제품 수입·판매),
화이트 곰돌이초,기타류,초,초,[수입/판매]기억의 소품(0507-1433-9160),대전광역시 동구 대전로646(효동현대아파트) 107동 609호,중국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-05-31,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시(위반제품 수입·판매),
파스텔 꼬불초,기타류,초,초,[수입/판매]기억의 소품(0507-1433-9160),대전광역시 동구 대전로646(효동현대아파트) 107동 609호,중국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-05-31,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시(위반제품 수입·판매),
핑크 곰돌이초,기타류,초,초,[수입/판매]기억의 소품(0507-1433-9160),대전광역시 동구 대전로646(효동현대아파트) 107동 609호,중국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-05-31,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시(위반제품 수입·판매),
골드 플레인 숫자초,기타류,초,초,[수입/판매]기억의 소품(0507-1433-9160),대전광역시 동구 대전로646(효동현대아파트) 107동 609호,중국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-05-31,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시(위반제품 수입·판매),
브라이덜샤워 초,기타류,초,초,[수입/판매]기억의 소품(0507-1433-9160),대전광역시 동구 대전로646(효동현대아파트) 107동 609호,중국,화학제품안전법 제10조 및 제35조,금강유역환경청,2023-05-31,"수입금지,판매금지,회수명령",안전기준 적합 확인·신고 미실시(위반제품 수입·판매),
루이엘 오브제캔들(우드세이지앤씨솔트),기타류,초,초,[판매] ㈜샤뽀(063-283-5454),전북 전주시 완산구 전동성당길 8,,생활화학제품 및 살생물제의 안전관리에 관한 법률,전북지방환경청,2023-06-19,"판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기, 표시 광고 위반]",
stupa incense(히말라얀시더),방향제류,방향제,방향제,[수입] 노드코퍼레이션(070-7581-7980),"서울특별시 성동구 성수이로 118, 8층 1호(성수동2가, 성수아카데미타워)",,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-13,"수입금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],"파생신고 (CB21-12-1064,‘21.9.13)완료 후 안전·표시기준 준수한 제품은 유통가능, 노드코퍼레이션에서 판매한 제품에 한함"
stupa incense(오샤 스칸다),방향제류,방향제,방향제,[수입] 노드코퍼레이션(070-7581-7980),"서울특별시 성동구 성수이로 118, 8층 1호(성수동2가, 성수아카데미타워)",,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-13,"수입금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],"파생신고 (CB21-12-1064,‘21.9.23)완료 후 안전·표시기준 준수한 제품은 유통가능, 노드코퍼레이션에서 판매한 제품에 한함"
바른유통 화장실청소기 스폰지 일회용 리필(청소스틱+케이스+리필4개B),세제류,세정제,세정제,[수입/판매] 바른유통(062-385-1387),광주광역시 광산구 왕버들로132번길 35 ,중국,생활화학제품 및 살생물제의 안전관리에 관한 법률,영산강유역환경청,2023-06-13,"수입금지, 판매금지, 회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기]
wet wipes,세제류,세정제품/제거제,제거제,[수입] 바나나랜드(02-753-2619),"서울특별시 금천구 범안로 1130,302호(가산동,디지털엠파이어빌딩)",중국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-05,"수입금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
wet wipes,세제류,세정제품/제거제,제거제,[판매] 알콜프리쇼핑(070-7954-6923),"서울특별시 도봉구 방학로 126-29,201호(방학동)",중국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-05,"판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
비즈공예 다용도 본드,코팅/접착제류,접착제,접착제,[수입] 모아유통,서울특별시 종로구 종로35가길 7-15(효제동),일본,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-05,"수입금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
"수공예,비즈용본드 11-514",코팅/접착제류,접착제,접착제,[수입] 모아유통,서울특별시 종로구 종로35가길 7-15(효제동),일본,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-05,"수입금지,판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
비즈공예 다용도 본드,코팅/접착제류,접착제,접착제,[판매] 실크로드(02-742-0036),"서울특별시 종로구 종로 266(종로6가, 동대문종합시장 A동 5113,5114호)",일본,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-05,"판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
"수공예,비즈용본드 11-514",코팅/접착제류,접착제,접착제,[판매] 실크로드(02-742-0036),"서울특별시 종로구 종로 266(종로6가, 동대문종합시장 A동 5113,5114호)",일본,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-05,"판매금지,회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
바이로텍트,기타류,"특수목적코팅제,탈취제,살균제",특수목적코팅제/탈취제/살균제,[판매] 주식회사 리더스케미컬(02-3488-5847),"서울특별시 서초구 효령로77길 28, 9층(서초동, 동오빌딩)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2023-06-07,"판매금지, 회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],
나나힐리필오일(레몬라벤더),방향제류,방향제,방향제,[제조/판매] 나나힐(구. 나나힐컴퍼니),경상북도 고령군 개진면 개경포로 1371,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,대구지방환경청,2023-06-09,"제조금지, 판매금지, 회수명령",파생신고 미실시 및 표시기준 위반제품 제조·판매,
투앤디 석고방향제(클린코튼향),방향제류,방향제,방향제,[제조/판매] 투앤디,광주광역시 광산구 월계로 170 107동 204호,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,영산강유역환경청,2023-06-09,"제조금지, 판매금지, 회수명령",○ 안전·표시기준 위반제품 제조 ·판매,ㅇ 안전·표시기준 위반제품(파생 미신고)  제조 판매
플라워캔들-해바라기캔들-일랑일랑,기타류,초,초,[제조/판매] 달보드레아뜰리에(050-4074-6736),전라남도 진도군 고군면 오일시2길 121 달보드레아뜰리에,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,영산강유역환경청,2023-06-07,"제조금지, 판매금지, 회수명령",○ 안전·표시기준 위반제품 제조 ·판매,ㅇ 안전·표시기준 위반제품(파생 미신고)  제조 판매
